population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Slovenia,Both,20-54 years,Depressive disorders,Percent,2010,0.030327786,0.035155121,0.025396292
All Population,Prevalence,United Kingdom,Both,All ages,Depressive disorders,Percent,2010,0.049049973,0.053529066,0.044907066
All Population,Prevalence,United Kingdom,Both,10-19 years,Depressive disorders,Percent,2010,0.051615844,0.058837956,0.041921893
All Population,Prevalence,United Kingdom,Both,55+ years,Depressive disorders,Percent,2010,0.044828882,0.050285706,0.040105559
All Population,Prevalence,United Kingdom,Both,20-54 years,Depressive disorders,Percent,2010,0.058528685,0.065786032,0.052835323
All Population,Prevalence,Hungary,Both,All ages,Depressive disorders,Percent,2010,0.033359652,0.038289087,0.028972834
All Population,Prevalence,Hungary,Both,10-19 years,Depressive disorders,Percent,2010,0.019936348,0.024072252,0.015930653
All Population,Prevalence,Hungary,Both,55+ years,Depressive disorders,Percent,2010,0.04476873,0.053136777,0.037583386
All Population,Prevalence,Hungary,Both,20-54 years,Depressive disorders,Percent,2010,0.034549116,0.039852199,0.029403139
All Population,Prevalence,Estonia,Both,All ages,Depressive disorders,Percent,2010,0.037617265,0.043002376,0.032707966
All Population,Prevalence,Estonia,Both,10-19 years,Depressive disorders,Percent,2010,0.024926968,0.030208127,0.019755622
All Population,Prevalence,Estonia,Both,55+ years,Depressive disorders,Percent,2010,0.047893961,0.057228112,0.04120391
All Population,Prevalence,Estonia,Both,20-54 years,Depressive disorders,Percent,2010,0.039943083,0.046800264,0.033921914
All Population,Prevalence,Spain,Both,All ages,Depressive disorders,Percent,2010,0.037082232,0.041373558,0.033451511
All Population,Prevalence,Spain,Both,10-19 years,Depressive disorders,Percent,2010,0.032526045,0.037485524,0.026789034
All Population,Prevalence,Spain,Both,55+ years,Depressive disorders,Percent,2010,0.041042393,0.047153098,0.035608692
All Population,Prevalence,Spain,Both,20-54 years,Depressive disorders,Percent,2010,0.040437986,0.046057076,0.035850972
All Population,Prevalence,Republic of Korea,Both,All ages,Depressive disorders,Percent,2010,0.02582409,0.028342523,0.023551041
All Population,Prevalence,Republic of Korea,Both,10-19 years,Depressive disorders,Percent,2010,0.03079633,0.035813537,0.024987399
All Population,Prevalence,Republic of Korea,Both,55+ years,Depressive disorders,Percent,2010,0.028553553,0.032385697,0.024973573
All Population,Prevalence,Republic of Korea,Both,20-54 years,Depressive disorders,Percent,2010,0.026687756,0.029827094,0.023848756
All Population,Prevalence,Czechia,Both,All ages,Depressive disorders,Percent,2010,0.033049896,0.039878245,0.026790511
All Population,Prevalence,Czechia,Both,10-19 years,Depressive disorders,Percent,2010,0.022304039,0.028171552,0.015554041
All Population,Prevalence,Czechia,Both,55+ years,Depressive disorders,Percent,2010,0.039917125,0.049948616,0.031183307
All Population,Prevalence,Czechia,Both,20-54 years,Depressive disorders,Percent,2010,0.036166364,0.044485423,0.029022282
All Population,Prevalence,Portugal,Both,All ages,Depressive disorders,Percent,2010,0.040075556,0.045127158,0.035676289
All Population,Prevalence,Portugal,Both,10-19 years,Depressive disorders,Percent,2010,0.033948216,0.039245458,0.027863467
All Population,Prevalence,Portugal,Both,55+ years,Depressive disorders,Percent,2010,0.046307146,0.054213005,0.039442502
All Population,Prevalence,Portugal,Both,20-54 years,Depressive disorders,Percent,2010,0.042635508,0.048534509,0.037384138
All Population,Prevalence,Costa Rica,Both,All ages,Depressive disorders,Percent,2010,0.0294515,0.035428483,0.024110502
All Population,Prevalence,Costa Rica,Both,10-19 years,Depressive disorders,Percent,2010,0.021750651,0.026656783,0.016277284
All Population,Prevalence,Costa Rica,Both,55+ years,Depressive disorders,Percent,2010,0.04059369,0.049694152,0.032363421
All Population,Prevalence,Costa Rica,Both,20-54 years,Depressive disorders,Percent,2010,0.03688618,0.044931542,0.030524443
All Population,Prevalence,Latvia,Both,All ages,Depressive disorders,Percent,2010,0.035179292,0.039742942,0.031226521
All Population,Prevalence,Latvia,Both,10-19 years,Depressive disorders,Percent,2010,0.021743881,0.026206886,0.017722528
All Population,Prevalence,Latvia,Both,55+ years,Depressive disorders,Percent,2010,0.045116752,0.053073463,0.03907044
All Population,Prevalence,Latvia,Both,20-54 years,Depressive disorders,Percent,2010,0.037021186,0.042503351,0.031647743
All Population,Prevalence,Finland,Both,All ages,Depressive disorders,Percent,2010,0.031698439,0.035484244,0.028470573
All Population,Prevalence,Finland,Both,10-19 years,Depressive disorders,Percent,2010,0.031894577,0.036966755,0.026219089
All Population,Prevalence,Finland,Both,55+ years,Depressive disorders,Percent,2010,0.031000657,0.03600761,0.026868206
All Population,Prevalence,Finland,Both,20-54 years,Depressive disorders,Percent,2010,0.037215021,0.042722611,0.032458581
All Population,Prevalence,Australia,Both,All ages,Depressive disorders,Percent,2010,0.041118498,0.045373606,0.036827952
All Population,Prevalence,Australia,Both,10-19 years,Depressive disorders,Percent,2010,0.045771865,0.052712074,0.037338765
All Population,Prevalence,Australia,Both,55+ years,Depressive disorders,Percent,2010,0.037695512,0.043476177,0.032479397
All Population,Prevalence,Australia,Both,20-54 years,Depressive disorders,Percent,2010,0.048591223,0.054931881,0.04279398
All Population,Prevalence,Israel,Both,All ages,Depressive disorders,Percent,2010,0.042210136,0.048770873,0.036313902
All Population,Prevalence,Lithuania,Both,All ages,Depressive disorders,Percent,2010,0.041428222,0.052319867,0.032659993
All Population,Prevalence,Lithuania,Both,10-19 years,Depressive disorders,Percent,2010,0.029713406,0.038216245,0.019589558
All Population,Prevalence,Lithuania,Both,55+ years,Depressive disorders,Percent,2010,0.050188041,0.064514341,0.03840796
All Population,Prevalence,Lithuania,Both,20-54 years,Depressive disorders,Percent,2010,0.045781456,0.058059214,0.035776183
All Population,Prevalence,Latvia,Both,All ages,Depressive disorders,Percent,2011,0.03596368,0.04052433,0.031958856
All Population,Prevalence,Latvia,Both,10-19 years,Depressive disorders,Percent,2011,0.022045488,0.025842524,0.017859625
All Population,Prevalence,Latvia,Both,55+ years,Depressive disorders,Percent,2011,0.04607558,0.053899013,0.040077037
All Population,Prevalence,Latvia,Both,20-54 years,Depressive disorders,Percent,2011,0.037720955,0.043248448,0.032412546
All Population,Prevalence,Portugal,Both,All ages,Depressive disorders,Percent,2011,0.04203149,0.046856008,0.037582833
All Population,Prevalence,Portugal,Both,10-19 years,Depressive disorders,Percent,2011,0.035620854,0.041216268,0.029365918
All Population,Prevalence,Portugal,Both,55+ years,Depressive disorders,Percent,2011,0.048742605,0.056591698,0.042184855
All Population,Prevalence,Portugal,Both,20-54 years,Depressive disorders,Percent,2011,0.044395266,0.05028906,0.039125998
All Population,Prevalence,Italy,Both,All ages,Depressive disorders,Percent,2010,0.025766859,0.02883721,0.023072942
All Population,Prevalence,Italy,Both,10-19 years,Depressive disorders,Percent,2010,0.020940987,0.024474068,0.017087031
All Population,Prevalence,Italy,Both,55+ years,Depressive disorders,Percent,2010,0.027882862,0.032333883,0.023970875
All Population,Prevalence,Italy,Both,20-54 years,Depressive disorders,Percent,2010,0.028468415,0.03214523,0.024976591
All Population,Prevalence,Denmark,Both,All ages,Depressive disorders,Percent,2010,0.034484196,0.038962197,0.030503295
All Population,Prevalence,Denmark,Both,10-19 years,Depressive disorders,Percent,2010,0.034608786,0.040565808,0.027648963
All Population,Prevalence,Denmark,Both,55+ years,Depressive disorders,Percent,2010,0.035110113,0.041447175,0.030426212
All Population,Prevalence,Denmark,Both,20-54 years,Depressive disorders,Percent,2010,0.039462737,0.045508407,0.034100762
All Population,Prevalence,Germany,Both,All ages,Depressive disorders,Percent,2010,0.042115213,0.045880153,0.038601397
All Population,Prevalence,Germany,Both,10-19 years,Depressive disorders,Percent,2010,0.037948548,0.042909892,0.031775473
All Population,Prevalence,Germany,Both,55+ years,Depressive disorders,Percent,2010,0.041224391,0.046037447,0.036668951
All Population,Prevalence,Germany,Both,20-54 years,Depressive disorders,Percent,2010,0.048095713,0.053530042,0.042994199
All Population,Prevalence,Republic of Korea,Both,All ages,Depressive disorders,Percent,2011,0.025738165,0.028289663,0.023567929
All Population,Prevalence,Republic of Korea,Both,10-19 years,Depressive disorders,Percent,2011,0.030815686,0.035883636,0.024967752
All Population,Prevalence,Republic of Korea,Both,55+ years,Depressive disorders,Percent,2011,0.02823828,0.031922894,0.02466684
All Population,Prevalence,Republic of Korea,Both,20-54 years,Depressive disorders,Percent,2011,0.026568942,0.029518018,0.023702308
All Population,Prevalence,Finland,Both,All ages,Depressive disorders,Percent,2011,0.031726857,0.035425163,0.028590187
All Population,Prevalence,Finland,Both,10-19 years,Depressive disorders,Percent,2011,0.031949755,0.03704939,0.026413525
All Population,Prevalence,Finland,Both,55+ years,Depressive disorders,Percent,2011,0.030998554,0.035728645,0.027036285
All Population,Prevalence,Finland,Both,20-54 years,Depressive disorders,Percent,2011,0.037308247,0.042795594,0.032852535
All Population,Prevalence,France,Both,All ages,Depressive disorders,Percent,2010,0.037322881,0.041389494,0.033402834
All Population,Prevalence,France,Both,10-19 years,Depressive disorders,Percent,2010,0.033822661,0.039433951,0.027752723
All Population,Prevalence,France,Both,55+ years,Depressive disorders,Percent,2010,0.043142833,0.04936441,0.037778753
All Population,Prevalence,France,Both,20-54 years,Depressive disorders,Percent,2010,0.040269941,0.045590698,0.035261632
All Population,Prevalence,Slovakia,Both,All ages,Depressive disorders,Percent,2010,0.026887439,0.031965839,0.022060274
All Population,Prevalence,Slovakia,Both,10-19 years,Depressive disorders,Percent,2010,0.016895083,0.021076097,0.012131669
All Population,Prevalence,Slovakia,Both,55+ years,Depressive disorders,Percent,2010,0.034441877,0.042370355,0.027617603
All Population,Prevalence,Slovakia,Both,20-54 years,Depressive disorders,Percent,2010,0.029555075,0.035824038,0.024072833
All Population,Prevalence,Iceland,Both,All ages,Depressive disorders,Percent,2010,0.043281563,0.048202618,0.03873855
All Population,Prevalence,Iceland,Both,10-19 years,Depressive disorders,Percent,2010,0.047393981,0.055365051,0.037594562
All Population,Prevalence,Iceland,Both,55+ years,Depressive disorders,Percent,2010,0.043472242,0.050506833,0.037817521
All Population,Prevalence,Iceland,Both,20-54 years,Depressive disorders,Percent,2010,0.050017841,0.056550795,0.043886461
All Population,Prevalence,Austria,Both,All ages,Depressive disorders,Percent,2010,0.026794292,0.030649128,0.023581264
All Population,Prevalence,Austria,Both,10-19 years,Depressive disorders,Percent,2010,0.023810926,0.028345236,0.019373343
All Population,Prevalence,Austria,Both,55+ years,Depressive disorders,Percent,2010,0.027886311,0.033274773,0.023790529
All Population,Prevalence,Austria,Both,20-54 years,Depressive disorders,Percent,2010,0.030240904,0.035414321,0.025719265
All Population,Prevalence,Germany,Both,All ages,Depressive disorders,Percent,2011,0.042497003,0.046170157,0.039075155
All Population,Prevalence,Germany,Both,10-19 years,Depressive disorders,Percent,2011,0.038470899,0.043446749,0.032315999
All Population,Prevalence,Germany,Both,55+ years,Depressive disorders,Percent,2011,0.041400046,0.046331616,0.036960923
All Population,Prevalence,Germany,Both,20-54 years,Depressive disorders,Percent,2011,0.048640886,0.053819989,0.043781138
All Population,Prevalence,Costa Rica,Both,All ages,Depressive disorders,Percent,2011,0.029569016,0.035637477,0.024154931
All Population,Prevalence,Costa Rica,Both,10-19 years,Depressive disorders,Percent,2011,0.021823139,0.02700521,0.016263175
All Population,Prevalence,Costa Rica,Both,55+ years,Depressive disorders,Percent,2011,0.040462462,0.049693658,0.032213959
All Population,Prevalence,Costa Rica,Both,20-54 years,Depressive disorders,Percent,2011,0.036792691,0.044365079,0.03043156
All Population,Prevalence,Czechia,Both,All ages,Depressive disorders,Percent,2011,0.033055855,0.03993674,0.026795256
All Population,Prevalence,Czechia,Both,10-19 years,Depressive disorders,Percent,2011,0.022002103,0.027630285,0.014984531
All Population,Prevalence,Czechia,Both,55+ years,Depressive disorders,Percent,2011,0.039999268,0.050231124,0.031329602
All Population,Prevalence,Czechia,Both,20-54 years,Depressive disorders,Percent,2011,0.036168332,0.04441024,0.029100908
All Population,Prevalence,Israel,Both,All ages,Depressive disorders,Percent,2011,0.042133756,0.048443125,0.036208983
All Population,Prevalence,Israel,Both,10-19 years,Depressive disorders,Percent,2010,0.044941222,0.053900348,0.035137482
All Population,Prevalence,Israel,Both,55+ years,Depressive disorders,Percent,2010,0.047907929,0.057005899,0.03924218
All Population,Prevalence,Israel,Both,20-54 years,Depressive disorders,Percent,2010,0.051376459,0.060256708,0.0437091
All Population,Prevalence,Belgium,Both,All ages,Depressive disorders,Percent,2011,0.035699809,0.040975797,0.030698405
All Population,Prevalence,Belgium,Both,10-19 years,Depressive disorders,Percent,2011,0.035586641,0.042091765,0.027967053
All Population,Prevalence,Belgium,Both,55+ years,Depressive disorders,Percent,2011,0.036839636,0.043641818,0.030996166
All Population,Prevalence,Belgium,Both,20-54 years,Depressive disorders,Percent,2011,0.040197345,0.046460497,0.033766292
All Population,Prevalence,Iceland,Both,All ages,Depressive disorders,Percent,2011,0.04357356,0.048229142,0.038960899
All Population,Prevalence,Iceland,Both,10-19 years,Depressive disorders,Percent,2011,0.047796267,0.055782497,0.037618876
All Population,Prevalence,Iceland,Both,55+ years,Depressive disorders,Percent,2011,0.043661194,0.050356653,0.038051057
All Population,Prevalence,Iceland,Both,20-54 years,Depressive disorders,Percent,2011,0.050465753,0.057064378,0.04425198
All Population,Prevalence,Luxembourg,Both,All ages,Depressive disorders,Percent,2011,0.041362462,0.046083083,0.03722475
All Population,Prevalence,Luxembourg,Both,10-19 years,Depressive disorders,Percent,2011,0.042249385,0.049211367,0.033603384
All Population,Prevalence,Luxembourg,Both,55+ years,Depressive disorders,Percent,2011,0.04247775,0.049247629,0.036931461
All Population,Prevalence,Luxembourg,Both,20-54 years,Depressive disorders,Percent,2011,0.046424951,0.052411531,0.040891945
All Population,Prevalence,Netherlands,Both,All ages,Depressive disorders,Percent,2011,0.052718426,0.057745649,0.048237046
All Population,Prevalence,Netherlands,Both,10-19 years,Depressive disorders,Percent,2011,0.052892045,0.06176239,0.043045845
All Population,Prevalence,Netherlands,Both,55+ years,Depressive disorders,Percent,2011,0.056801845,0.063217635,0.051217453
All Population,Prevalence,Netherlands,Both,20-54 years,Depressive disorders,Percent,2011,0.05935773,0.067065054,0.05278886
All Population,Prevalence,Israel,Both,All ages,Depressive disorders,Percent,2012,0.042075081,0.048554948,0.036120555
All Population,Prevalence,Slovenia,Both,All ages,Depressive disorders,Percent,2011,0.028661352,0.033050558,0.024532955
All Population,Prevalence,Slovenia,Both,10-19 years,Depressive disorders,Percent,2011,0.017291481,0.021199039,0.0133579
All Population,Prevalence,Slovenia,Both,55+ years,Depressive disorders,Percent,2011,0.036260144,0.042858123,0.030840235
All Population,Prevalence,Slovenia,Both,20-54 years,Depressive disorders,Percent,2011,0.030348001,0.035072528,0.025435355
All Population,Prevalence,Israel,Both,10-19 years,Depressive disorders,Percent,2011,0.044844337,0.053583826,0.035032779
All Population,Prevalence,Israel,Both,55+ years,Depressive disorders,Percent,2011,0.047770216,0.056672906,0.039258577
All Population,Prevalence,Israel,Both,20-54 years,Depressive disorders,Percent,2011,0.051311765,0.060427038,0.043637137
All Population,Prevalence,Slovakia,Both,All ages,Depressive disorders,Percent,2011,0.026963933,0.032057424,0.022217178
All Population,Prevalence,Slovakia,Both,10-19 years,Depressive disorders,Percent,2011,0.016837318,0.020918178,0.012194451
All Population,Prevalence,Slovakia,Both,55+ years,Depressive disorders,Percent,2011,0.03447648,0.042653411,0.027637991
All Population,Prevalence,Slovakia,Both,20-54 years,Depressive disorders,Percent,2011,0.029565572,0.03578349,0.024162026
All Population,Prevalence,Denmark,Both,All ages,Depressive disorders,Percent,2011,0.036323094,0.040709592,0.03234742
All Population,Prevalence,Denmark,Both,10-19 years,Depressive disorders,Percent,2011,0.037092282,0.043446138,0.029659279
All Population,Prevalence,Denmark,Both,55+ years,Depressive disorders,Percent,2011,0.036721549,0.043013931,0.031974486
All Population,Prevalence,Denmark,Both,20-54 years,Depressive disorders,Percent,2011,0.04145297,0.047553762,0.035999932
All Population,Prevalence,Lithuania,Both,All ages,Depressive disorders,Percent,2011,0.041581432,0.052539216,0.032810524
All Population,Prevalence,Lithuania,Both,10-19 years,Depressive disorders,Percent,2011,0.029712002,0.037546703,0.019472652
All Population,Prevalence,Lithuania,Both,55+ years,Depressive disorders,Percent,2011,0.050249392,0.064461664,0.038614753
All Population,Prevalence,Lithuania,Both,20-54 years,Depressive disorders,Percent,2011,0.045804567,0.058015585,0.035682758
All Population,Prevalence,France,Both,All ages,Depressive disorders,Percent,2011,0.037404971,0.041479844,0.033416805
All Population,Prevalence,France,Both,10-19 years,Depressive disorders,Percent,2011,0.03399014,0.039541013,0.027928455
All Population,Prevalence,France,Both,55+ years,Depressive disorders,Percent,2011,0.043150435,0.049421887,0.037902979
All Population,Prevalence,France,Both,20-54 years,Depressive disorders,Percent,2011,0.040345566,0.045493805,0.035366231
All Population,Prevalence,Belgium,Both,All ages,Depressive disorders,Percent,2012,0.037393564,0.042797277,0.032210476
All Population,Prevalence,Belgium,Both,10-19 years,Depressive disorders,Percent,2012,0.037725144,0.044907391,0.02929764
All Population,Prevalence,Belgium,Both,55+ years,Depressive disorders,Percent,2012,0.038552176,0.045740569,0.032625894
All Population,Prevalence,Belgium,Both,20-54 years,Depressive disorders,Percent,2012,0.042055806,0.048371637,0.035305022
All Population,Prevalence,Slovenia,Both,All ages,Depressive disorders,Percent,2012,0.028709539,0.033063532,0.024555665
All Population,Prevalence,Slovenia,Both,10-19 years,Depressive disorders,Percent,2012,0.017290855,0.021104614,0.013180654
All Population,Prevalence,Slovenia,Both,55+ years,Depressive disorders,Percent,2012,0.036289864,0.043051768,0.030769731
All Population,Prevalence,Slovenia,Both,20-54 years,Depressive disorders,Percent,2012,0.030381891,0.035164566,0.025578128
All Population,Prevalence,Austria,Both,All ages,Depressive disorders,Percent,2011,0.026762648,0.030475425,0.023551465
All Population,Prevalence,Austria,Both,10-19 years,Depressive disorders,Percent,2011,0.023803634,0.028273363,0.019320733
All Population,Prevalence,Austria,Both,55+ years,Depressive disorders,Percent,2011,0.027800193,0.033081011,0.023747773
All Population,Prevalence,Austria,Both,20-54 years,Depressive disorders,Percent,2011,0.030193086,0.035265396,0.025755483
All Population,Prevalence,Sweden,Both,All ages,Depressive disorders,Percent,2011,0.039588303,0.043222734,0.036039075
All Population,Prevalence,Sweden,Both,10-19 years,Depressive disorders,Percent,2011,0.043395625,0.048919969,0.03675194
All Population,Prevalence,Sweden,Both,55+ years,Depressive disorders,Percent,2011,0.03971909,0.045277468,0.035101326
All Population,Prevalence,Sweden,Both,20-54 years,Depressive disorders,Percent,2011,0.045040996,0.050468138,0.040147082
All Population,Prevalence,Hungary,Both,All ages,Depressive disorders,Percent,2011,0.032879308,0.037621627,0.028571323
All Population,Prevalence,Hungary,Both,10-19 years,Depressive disorders,Percent,2011,0.019334756,0.023158944,0.015330771
All Population,Prevalence,Hungary,Both,55+ years,Depressive disorders,Percent,2011,0.044109339,0.052087091,0.037241272
All Population,Prevalence,Hungary,Both,20-54 years,Depressive disorders,Percent,2011,0.033904975,0.03887855,0.028971869
All Population,Prevalence,Italy,Both,All ages,Depressive disorders,Percent,2011,0.025573418,0.028548064,0.022921325
All Population,Prevalence,Italy,Both,10-19 years,Depressive disorders,Percent,2011,0.020697034,0.024229217,0.01691778
All Population,Prevalence,Italy,Both,55+ years,Depressive disorders,Percent,2011,0.027698281,0.0319089,0.02391306
All Population,Prevalence,Italy,Both,20-54 years,Depressive disorders,Percent,2011,0.028235935,0.031939662,0.024798363
All Population,Prevalence,Luxembourg,Both,All ages,Depressive disorders,Percent,2012,0.041625008,0.046120054,0.037609177
All Population,Prevalence,Luxembourg,Both,10-19 years,Depressive disorders,Percent,2012,0.042696311,0.04960863,0.03416295
All Population,Prevalence,Luxembourg,Both,55+ years,Depressive disorders,Percent,2012,0.042572604,0.048974109,0.037418978
All Population,Prevalence,Luxembourg,Both,20-54 years,Depressive disorders,Percent,2012,0.046654539,0.052411232,0.041094499
All Population,Prevalence,Slovenia,Both,All ages,Depressive disorders,Percent,2013,0.028775628,0.033060268,0.024790214
All Population,Prevalence,Slovenia,Both,10-19 years,Depressive disorders,Percent,2013,0.017304017,0.021437025,0.012993821
All Population,Prevalence,Slovenia,Both,55+ years,Depressive disorders,Percent,2013,0.036347019,0.043086909,0.030652347
All Population,Prevalence,Slovenia,Both,20-54 years,Depressive disorders,Percent,2013,0.030449724,0.035289409,0.025665757
All Population,Prevalence,Portugal,Both,All ages,Depressive disorders,Percent,2013,0.040955956,0.045492688,0.03702424
All Population,Prevalence,Portugal,Both,10-19 years,Depressive disorders,Percent,2013,0.03410656,0.040119378,0.028046928
All Population,Prevalence,Portugal,Both,55+ years,Depressive disorders,Percent,2013,0.047554565,0.05425344,0.042022879
All Population,Prevalence,Portugal,Both,20-54 years,Depressive disorders,Percent,2013,0.043019988,0.048296861,0.03815318
All Population,Prevalence,Latvia,Both,All ages,Depressive disorders,Percent,2012,0.035248028,0.039789035,0.031394847
All Population,Prevalence,Latvia,Both,10-19 years,Depressive disorders,Percent,2012,0.021129019,0.025087323,0.017207247
All Population,Prevalence,Latvia,Both,55+ years,Depressive disorders,Percent,2012,0.045127802,0.052700143,0.039274011
All Population,Prevalence,Latvia,Both,20-54 years,Depressive disorders,Percent,2012,0.0369049,0.04251637,0.031868487
All Population,Prevalence,Greece,Both,All ages,Depressive disorders,Percent,2011,0.044943112,0.050378322,0.039747861
All Population,Prevalence,Greece,Both,10-19 years,Depressive disorders,Percent,2011,0.044661914,0.052147833,0.035442684
All Population,Prevalence,Greece,Both,55+ years,Depressive disorders,Percent,2011,0.046718064,0.054472656,0.039431037
All Population,Prevalence,Greece,Both,20-54 years,Depressive disorders,Percent,2011,0.049881859,0.057440026,0.043200223
All Population,Prevalence,Israel,Both,10-19 years,Depressive disorders,Percent,2012,0.044789789,0.053749689,0.034351597
All Population,Prevalence,Israel,Both,55+ years,Depressive disorders,Percent,2012,0.047644071,0.056532841,0.039567988
All Population,Prevalence,Israel,Both,20-54 years,Depressive disorders,Percent,2012,0.051280258,0.060324855,0.043462571
All Population,Prevalence,United Kingdom,Both,All ages,Depressive disorders,Percent,2011,0.05010616,0.054618937,0.046080472
All Population,Prevalence,United Kingdom,Both,10-19 years,Depressive disorders,Percent,2011,0.054167815,0.062007653,0.044064653
All Population,Prevalence,United Kingdom,Both,55+ years,Depressive disorders,Percent,2011,0.04488446,0.04997618,0.040441492
All Population,Prevalence,United Kingdom,Both,20-54 years,Depressive disorders,Percent,2011,0.060074397,0.067157467,0.0544134
All Population,Prevalence,Canada,Both,All ages,Depressive disorders,Percent,2011,0.034842124,0.038808633,0.031169533
All Population,Prevalence,Chile,Both,All ages,Depressive disorders,Percent,2011,0.038734023,0.051622256,0.028457546
All Population,Prevalence,Chile,Both,10-19 years,Depressive disorders,Percent,2011,0.040812987,0.053144547,0.026609948
All Population,Prevalence,Chile,Both,55+ years,Depressive disorders,Percent,2011,0.03893473,0.052326593,0.028698115
All Population,Prevalence,Chile,Both,20-54 years,Depressive disorders,Percent,2011,0.045950716,0.062330059,0.033685447
All Population,Prevalence,Canada,Both,10-19 years,Depressive disorders,Percent,2011,0.0346117,0.039867705,0.028810683
All Population,Prevalence,Canada,Both,55+ years,Depressive disorders,Percent,2011,0.031706599,0.037106146,0.027450096
All Population,Prevalence,Canada,Both,20-54 years,Depressive disorders,Percent,2011,0.042147116,0.048149927,0.036585077
All Population,Prevalence,Chile,Both,All ages,Depressive disorders,Percent,2012,0.038872272,0.051750551,0.028911739
All Population,Prevalence,Chile,Both,10-19 years,Depressive disorders,Percent,2012,0.041031815,0.053659627,0.026521195
All Population,Prevalence,Chile,Both,55+ years,Depressive disorders,Percent,2012,0.039095563,0.052611666,0.028568296
