Entity,Code,Year,Consumption Rate
Lithuania,LTU,2018,31.3
Lithuania,LTU,2019,35.4
Lithuania,LTU,2020,36.8
Luxembourg,LUX,2010,50.1
Luxembourg,LUX,2011,51.4
Luxembourg,LUX,2012,52
Luxembourg,LUX,2013,53.4
Luxembourg,LUX,2014,56
Luxembourg,LUX,2015,53.7
Luxembourg,LUX,2016,54.2
Luxembourg,LUX,2017,53
Luxembourg,LUX,2018,52.9
Luxembourg,LUX,2019,54.9
Luxembourg,LUX,2020,55.3
Luxembourg,LUX,2021,57.3
Netherlands,NLD,2010,40.4
Netherlands,NLD,2011,41.6
Netherlands,NLD,2012,42.4
Netherlands,NLD,2013,43.3
Netherlands,NLD,2014,44.3
Netherlands,NLD,2015,45.5
Netherlands,NLD,2016,45.9
Netherlands,NLD,2017,46.2
Netherlands,NLD,2018,47.2
Netherlands,NLD,2019,47.9
Netherlands,NLD,2020,47.3
Norway,NOR,2010,56.5
Norway,NOR,2011,57.7
Norway,NOR,2012,57.5
Norway,NOR,2013,56.9
Norway,NOR,2014,57.1
Norway,NOR,2015,58
Norway,NOR,2016,57.6
Norway,NOR,2017,57.3
Norway,NOR,2018,56.2
Norway,NOR,2019,57.9
Norway,NOR,2020,58.7
Norway,NOR,2021,61.1
Portugal,PRT,2010,78.7
Portugal,PRT,2011,78.3
Portugal,PRT,2012,84.5
Portugal,PRT,2013,87.5
Portugal,PRT,2014,92.1
Portugal,PRT,2015,95.1
Portugal,PRT,2016,99.5
Portugal,PRT,2017,103.8
Portugal,PRT,2018,109.3
Portugal,PRT,2019,123.7
Portugal,PRT,2020,131
Portugal,PRT,2021,139.6
Slovakia,SVK,2010,29
Slovakia,SVK,2011,30.7
Slovakia,SVK,2012,30.2
Slovakia,SVK,2013,35.2
Slovakia,SVK,2014,38.1
Slovakia,SVK,2015,40
Slovakia,SVK,2016,38.9
Slovakia,SVK,2017,39.4
Slovakia,SVK,2018,41.1
Slovakia,SVK,2019,47.6
Slovakia,SVK,2020,48.2
Slovenia,SVN,2010,44.1
Slovenia,SVN,2011,50
Slovenia,SVN,2012,51
Slovenia,SVN,2013,53.3
Slovenia,SVN,2014,55
Slovenia,SVN,2015,56.8
Slovenia,SVN,2016,58.6
Slovenia,SVN,2017,59.5
Slovenia,SVN,2018,61.5
Slovenia,SVN,2019,63.3
Slovenia,SVN,2020,63.6
South Korea,KOR,2010,11.3
South Korea,KOR,2011,13.8
South Korea,KOR,2012,15.2
South Korea,KOR,2013,17
South Korea,KOR,2014,18
South Korea,KOR,2015,20.3
South Korea,KOR,2016,17.2
South Korea,KOR,2017,18.8
South Korea,KOR,2018,21
South Korea,KOR,2019,23.4
South Korea,KOR,2020,27.4
Spain,ESP,2010,61.2
Spain,ESP,2011,63.9
Spain,ESP,2012,64
Spain,ESP,2013,65.2
Spain,ESP,2014,71.3
Spain,ESP,2015,73.1
Spain,ESP,2016,75.5
Spain,ESP,2017,77.2
Spain,ESP,2018,80.4
Spain,ESP,2019,83.6
Spain,ESP,2020,86.9
Spain,ESP,2021,92
Sweden,SWE,2010,75.8
Sweden,SWE,2011,79.4
Sweden,SWE,2012,81.1
Sweden,SWE,2013,84.3
Sweden,SWE,2014,87.8
Sweden,SWE,2015,92.5
Sweden,SWE,2016,95
Sweden,SWE,2017,96.9
Sweden,SWE,2018,98.7
Sweden,SWE,2019,102.7
Sweden,SWE,2020,105.4
Sweden,SWE,2021,108.9
United Kingdom,GBR,2010,65.9
United Kingdom,GBR,2011,70.7
United Kingdom,GBR,2012,75
United Kingdom,GBR,2013,82.3
United Kingdom,GBR,2014,87.8
United Kingdom,GBR,2015,94.2
United Kingdom,GBR,2016,100.1
United Kingdom,GBR,2017,107.9
